time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-09-14T10:52:18.000Z,32.0485,-115.1981667,9.939,4.96,mw,12,263,0.3808,0.21,ci,ci10798005,2016-03-10T11:07:04.208Z,"20km S of Alberto Oviedo Mota, B.C., MX",earthquake,1.95,31.61,,0,reviewed,ci,ci
2010-07-07T23:53:33.480Z,33.4173333,-116.4746667,12.318,5.43,mw,112,19,0.09786,0.23,ci,ci10736069,2016-05-03T15:46:05.390Z,"20km NNW of Borrego Springs, CA",earthquake,0.16,0.35,,6,reviewed,ci,ci
2010-06-15T04:59:45.530Z,32.6995,-115.95,10.519,4.61,ml,60,121,0.1264,0.33,ci,ci14745932,2016-03-10T16:54:12.493Z,"6km SE of Ocotillo, CA",earthquake,0.48,1.26,0.178,397,reviewed,ci,ci
2010-06-15T04:26:58.240Z,32.705,-115.9113333,8.756,5.72,mw,45,71,0.05832,0.2,ci,ci14745580,2016-05-03T15:43:46.319Z,"8km ESE of Ocotillo, CA",earthquake,0.41,0.83,,7,reviewed,ci,ci
2010-06-14T07:02:27.440Z,32.2345,-115.3095,9.993,4.52,mw,16,240,0.4131,0.13,ci,ci10703133,2016-03-10T09:21:43.525Z,"13km W of Alberto Oviedo Mota, B.C., MX",earthquake,1.82,31.61,,6,reviewed,ci,ci
2010-06-13T03:08:57.090Z,33.3833333,-116.4158333,11.156,4.9,ml,85,19,0.1148,0.26,ci,ci10701405,2016-03-10T15:17:46.308Z,"15km NNW of Borrego Springs, CA",earthquake,0.22,0.6,0.125,410,reviewed,ci,ci
2010-05-22T17:33:17.900Z,32.6243333,-115.7683333,7.493,4.6,mw,32,131,0.04329,0.14,ci,ci14718764,2016-03-10T18:25:21.119Z,"18km WNW of Progreso, B.C., MX",earthquake,0.56,0.76,,6,reviewed,ci,ci
2010-05-22T17:30:58.170Z,32.6168333,-115.7563333,8.073,4.9,mw,38,132,0.0411,0.17,ci,ci14718756,2016-03-10T00:19:07.487Z,"17km WNW of Progreso, B.C., MX",earthquake,0.54,0.69,,0,reviewed,ci,ci
2010-05-19T00:38:59.780Z,32.6601667,-115.8253333,8.913,4.53,mw,32,80,0.008128,0.18,ci,ci10671989,2016-03-10T16:48:36.084Z,"18km ESE of Ocotillo, CA",earthquake,0.55,0.61,,0,reviewed,ci,ci
2010-05-08T18:46:27.460Z,32.6755,-115.8101667,2.383,4.68,mw,43,88,0.02652,0.18,ci,ci10657549,2016-03-10T10:42:47.012Z,"18km ESE of Ocotillo, CA",earthquake,0.32,0.52,,7,reviewed,ci,ci
2010-05-08T18:33:10.750Z,32.6815,-115.7971667,5.955,4.8,mw,54,97,0.02883,0.24,ci,ci10657533,2016-03-10T16:45:33.239Z,"19km ESE of Ocotillo, CA",earthquake,0.37,31.61,,0,reviewed,ci,ci
2010-05-04T11:26:32.050Z,32.2636667,-115.2866667,14.059,4.68,ml,21,224,0.1562,0.26,ci,ci14692836,2016-03-10T18:18:55.828Z,"12km WNW of Alberto Oviedo Mota, B.C., MX",earthquake,1.56,1.04,0.156,193,reviewed,ci,ci
2010-04-27T10:55:35.720Z,32.6921667,-115.8465,3.278,4.83,ml,43,56,0.02767,0.23,ci,ci14682004,2016-03-10T09:09:43.168Z,"14km ESE of Ocotillo, CA",earthquake,0.3,0.46,0.183,369,reviewed,ci,ci
2010-04-22T17:12:13.050Z,32.6595,-115.8075,5.315,4.63,ml,40,125,0.0165,0.21,ci,ci10629477,2016-03-10T01:39:06.970Z,"19km ESE of Ocotillo, CA",earthquake,0.41,0.34,0.133,408,reviewed,ci,ci
2010-04-22T14:22:03.390Z,32.6703333,-115.8073333,4.945,4.6,ml,37,100,0.02354,0.21,ci,ci10629213,2016-03-10T21:47:56.248Z,"19km ESE of Ocotillo, CA",earthquake,0.4,0.3,0.156,398,reviewed,ci,ci
2010-04-15T23:59:38.000Z,41.703,-111.09,7.9,4.6,mwc,357,10.4,,,us,usp000hbfd,2015-02-11T17:19:22.000Z,"Utah",earthquake,,,,,reviewed,slc,gcmt
2010-04-15T10:20:46.910Z,32.096,-115.0111667,16.603,4.73,mw,7,311,0.2135,0.08,ci,ci10612285,2016-03-10T03:02:54.426Z,"11km S of Estacion Coahuila, B.C., MX",earthquake,2.62,1.51,,6,reviewed,ci,ci
2010-04-10T09:12:28.030Z,32.6753333,-115.7581667,9.715,4.5,mw,45,55,0.00853,0.2,ci,ci10597061,2016-03-10T01:31:19.910Z,"20km WNW of Progreso, B.C., MX",earthquake,0.35,0.52,,0,reviewed,ci,ci
2010-04-09T23:05:42.000Z,32.1818333,-115.245,12.267,4.7,mw,21,247,0.187,0.16,ci,ci10595133,2016-03-10T08:58:46.511Z,"9km SW of Alberto Oviedo Mota, B.C., MX",earthquake,1.16,1.37,,0,reviewed,ci,ci
2010-04-08T16:44:25.010Z,32.1646667,-115.2683333,9.985,5.29,mw,20,249,0.4901,0.2,ci,ci10589037,2016-03-10T23:09:46.820Z,"12km SW of Alberto Oviedo Mota, B.C., MX",earthquake,1.52,31.61,,6,reviewed,ci,ci
2010-04-06T10:06:37.750Z,32.6651667,-115.8106667,1.733,4.51,ml,39,158,0.07283,0.23,ci,ci14618772,2016-03-10T17:57:36.319Z,"19km ESE of Ocotillo, CA",earthquake,0.46,0.67,0.13,209,reviewed,ci,ci
2010-04-06T08:12:23.620Z,31.8315,-115.0126667,9.961,4.67,ml,9,289,0.8188,0.16,ci,ci14618236,2016-03-10T04:23:21.034Z,"40km S of Estacion Coahuila, B.C., MX",earthquake,5.92,31.61,0.152,273,reviewed,ci,ci
2010-04-06T04:12:21.260Z,32.5936667,-115.7738333,3.983,4.56,ml,34,195,0.06844,0.23,ci,ci14617100,2016-03-10T14:46:06.234Z,"18km W of Progreso, B.C., MX",earthquake,0.45,0.53,0.132,174,reviewed,ci,ci
2010-04-06T01:23:00.820Z,32.2151667,-115.0715,9.994,4.51,ml,7,263,0.5276,0.4,ci,ci14616380,2016-03-10T05:58:23.592Z,"7km WNW of Estacion Coahuila, B.C., MX",earthquake,4.77,31.61,0.229,189,reviewed,ci,ci
2010-04-05T13:33:05.360Z,32.6401667,-115.8018333,0.002,4.73,mw,36,188,0.06431,0.23,ci,ci14613212,2016-03-10T16:23:49.277Z,"21km ESE of Ocotillo, CA",earthquake,0.51,0.83,,6,reviewed,ci,ci
2010-04-05T11:14:14.890Z,32.6638333,-115.8088333,13.653,4.93,mw,37,160,0.07104,0.29,ci,ci14612516,2016-03-10T07:23:47.858Z,"19km ESE of Ocotillo, CA",earthquake,0.73,0.84,,0,reviewed,ci,ci
2010-04-05T03:15:24.770Z,32.6465,-115.8055,1.243,4.96,ml,35,181,0.06681,0.21,ci,ci14609660,2016-03-10T16:22:54.673Z,"20km ESE of Ocotillo, CA",earthquake,0.71,0.9,0.142,178,reviewed,ci,ci
2010-04-05T02:47:27.410Z,32.2851667,-115.3025,10.003,4.51,ml,15,239,0.5262,0.19,ci,ci30389759,2016-03-09T23:50:54.814Z,"13km SW of Delta, B.C., MX",earthquake,1.36,31.61,0.169,198,reviewed,ci,ci
2010-04-05T01:52:25.420Z,32.5933333,-115.7733333,4.085,4.68,ml,35,195,0.1369,0.23,ci,ci14608980,2016-03-10T04:21:03.120Z,"18km W of Progreso, B.C., MX",earthquake,0.64,0.67,0.159,74,reviewed,ci,ci
2010-04-05T01:25:34.670Z,32.1445,-115.1148333,10.015,4.64,mw,9,302,0.7162,0.19,ci,ci30213759,2016-03-10T05:55:58.330Z,"11km SSE of Alberto Oviedo Mota, B.C., MX",earthquake,1.51,31.61,,0,reviewed,ci,ci
2010-04-05T00:07:07.920Z,31.9788333,-115.1341667,9.994,5.22,ml,9,276,0.7555,0.38,ci,ci10148002,2016-03-10T10:19:37.359Z,"27km SSW of Estacion Coahuila, B.C., MX",earthquake,7.67,31.61,0.156,123,reviewed,ci,ci
2010-04-04T23:37:33.490Z,32.4623333,-115.5978333,9.966,4.7,ml,22,244,0.2158,0.25,ci,ci14607972,2016-03-10T21:27:54.418Z,"13km S of Progreso, B.C., MX",earthquake,1.16,31.61,0.156,181,reviewed,ci,ci
2010-04-04T23:25:07.190Z,32.2661667,-115.2925,9.987,5.38,mw,10,278,0.5296,0.3,ci,ci14607924,2016-03-10T10:19:31.451Z,"12km WNW of Alberto Oviedo Mota, B.C., MX",earthquake,3.12,31.61,,6,reviewed,ci,ci
2010-04-04T23:17:13.080Z,32.2211667,-115.2906667,9.995,4.56,ml,8,259,0.5639,0.22,ci,ci10169094,2016-03-10T08:49:26.422Z,"11km W of Alberto Oviedo Mota, B.C., MX",earthquake,2.61,31.61,0.11,11,reviewed,ci,ci
2010-04-04T23:15:14.240Z,32.3,-115.2595,9.987,5.43,mw,8,254,0.4955,0.23,ci,ci14607836,2016-03-09T23:50:41.115Z,"9km SW of Delta, B.C., MX",earthquake,1.8,31.61,,4,reviewed,ci,ci
2010-04-04T23:09:40.110Z,32.204,-115.3328333,9.979,4.79,ml,9,284,0.6059,0.17,ci,ci14607820,2016-03-10T05:55:43.246Z,"16km W of Alberto Oviedo Mota, B.C., MX",earthquake,2.12,31.61,0.18,305,reviewed,ci,ci
2010-04-04T22:50:17.120Z,32.0986667,-115.0481667,10.011,5.7,mw,5,296,0.7811,0.33,ci,ci31957759,2016-03-10T08:49:23.877Z,"12km SSW of Estacion Coahuila, B.C., MX",earthquake,3.14,31.61,,4,reviewed,ci,ci
2010-04-04T22:43:00.430Z,32.4533333,-115.632,9.981,5.26,ml,16,239,0.3162,0.26,ci,ci10184394,2016-03-10T16:22:28.400Z,"15km SSW of Progreso, B.C., MX",earthquake,1,31.61,0.11,13,reviewed,ci,ci
2010-04-04T22:40:42.360Z,32.2861667,-115.2953333,9.987,7.2,mw,10,239,0.5137,0.11,ci,ci14607652,2016-07-23T17:06:02.663Z,"12km SW of Delta, B.C., MX",earthquake,1.81,31.61,,0,reviewed,ci,ci
2010-03-30T09:14:10.460Z,31.276,-114.049,10,4.6,mb,38,160.6,,1.17,us,usp000ha4x,2014-11-07T01:41:06.521Z,"Baja California-Sonora border region, Mexico",earthquake,,,,8,reviewed,us,us
2010-03-06T08:47:37.870Z,40.32,-124.733,12.543,4.5,mh,6,293,5.654,0.07,ci,ci14597412,2016-03-10T05:53:51.443Z,"49km SW of Ferndale, CA",earthquake,4.68,31.61,,0,reviewed,ci,ci
2010-03-06T08:46:24.020Z,40.327,-124.705,12.4,4.5,mwr,133,165.4,,,us,usp000h8tp,2015-01-28T12:47:00.405Z,"offshore Northern California",earthquake,,,,,reviewed,nc,brk
2010-02-04T20:20:18.530Z,40.431,-124.929,6.929,6,mh,7,341,3.68,0.56,ci,ci14585316,2016-03-10T14:38:52.991Z,"58km WSW of Ferndale, CA",earthquake,99,31.61,,0,reviewed,ci,ci
2010-01-10T00:27:39.320Z,40.652,-124.692,29.3,6.5,mwc,330,31.4,,,us,usp000h5we,2016-05-03T15:28:05.597Z,"offshore Northern California",earthquake,,,,,reviewed,nc,us
